bonsut2_0_code,coicop2018_code
C_Flour_puls,01.1.7.9
C_Flour_rice,01.1.1.2
C_Flour_root,01.1.7.9
C_Flour_cass,01.1.7.9
C_Mixes,01.1.1
C_Starch_cass,01.1.7.9
C_Starch_pota,01.1.7.9
C_Tapia,01.1.7.9
C_Tapis,01.1.7.9
C_Wafes,01.1.1
C_Pasty,01.1.1
C_Bread,01.1.1
C_Macai,01.1.1
C_Chily,01.1.9
C_Flour_nes,01.3.0
C_Soyate,01.1.9
C_Soyace,01.1.9
C_Meat_homo,01.1.9
C_Vegeh,01.1.9
C_Fruhom,01.1.9
C_Soyard,01.1.7.9
C_Bev_dstl,02.1
C_Wine,02.1.2
C_Cider,02.1.1
C_Bev_ferm,02.1.1
C_Beer_barl,02.1.3
C_Beer_millet,02.1.3
C_Beer_maiz,02.1.3
C_Beer_sorg,02.1.3
C_TOBC,02.3
C_TEXT,05.2.1
C_Silkw,03.1.2
C_GARM,03.1.2
C_LETH,03.1.1
C_WOOD,04.1
C_PULP,09.7
C_PAPE_01_RES,09.7
C_SHEET_PA,01.3.0
C_TETRA_PPA,01.3.0
C_TETRA_PP,01.3.0
C_SHEET_PAPL,01.3.0
C_CARDB,01.3.0
C_PUBL,09.7
C_FURN,05.1
C_ENGS,04.3
C_MDIA,09.6.9
C_COKE,04.5.4
C_COKE_bypr_recov,04.5.4
C_COKE_no_recov,04.5.4
C_OGPL,04.5.2
C_NUCF,04.5.1
C_Fat_ac,01.1.5.9
C_Alc_food,02.1
C_N_urea,01.3.0
C_N_AmmSol,01.3.0
C_N_AmmNit,09.3.1
C_N_CaAmNit,01.3.0
C_N_solution,01.3.0
C_Pfert,01.3.0
C_Kfert,01.3.0
C_NPK,09.3.3
C_NP_fert,09.3.3
C_PK_fert,09.3.3
C_NK_fert,01.3.0
C_MANC,09.3.3
C_PLAS,05.6.1
C_PHAR,06.1.1
C_SHEET_PAPLAL,05.6.1
C_PACK_OPLA,05.4.0
C_BOTL_PET,05.4.0
C_FOIL_PLA,05.6.1
C_GLAS_01_RES,05.4.0
C_CONTAI_GLS,05.4.0
C_JAR_GLS,05.4.0
C_BOTL_GLM,05.4.0
C_BOTL_GLS,05.4.0
C_CRMC,05.4.0
C_BRIK,04.3.1
C_CMNT,04.3.1
C_ONMM,04.3
C_MACH,05.5.1
C_ART,09
C_Bran_oat,01.1.1.4
C_Mangp,01.1.6
C_STEL,05.5.2
C_METC,04.3
C_PREM,13.2.1
C_COPP,04.4.2
C_ONFM,05.5.2
C_LZTP,07
C_CAN_STEL,01.1.7.9.2
C_CAN_ALD,02.1.3
C_truck,07.1.1
C_bus,07.3.2.1
C_auto,07.1.1
C_TDWH,07.4
C_TDMO,07.2.3
C_TDRT,05.6.1
C_TAIR,07.3.3
C_TAUX,07.3.6
C_POST,07.4.1
C_FINT,12.2.1
C_FINS,12.1.1
C_FAUX,12.2.1
C_COMP,08.3
C_TRAV,11.2.0
C_REP_INST,05.3.3
C_STEW,04.4.2
C_GLAS_reuse,04.4.2
C_CONW,04.4.2
C_PLAW,04.4.2
C_ASHW,04.4.2
C_PADF,13.9.0
C_EDUC,10.5.0
C_HEAL,06.2.1
C_SOWO,13.3.0
C_FOOD_w_water,04.4.3
C_ALUW,04.4.2
C_COPW,04.4.2
C_DE_RECY,04.4.2
C_LZTW,04.4.2
C_PAPR,04.4.2
C_MM_RECY,04.4.2
C_MNF_RECY,04.4.2
C_ONFW,04.4.2
C_PREW,04.4.2
C_SE_RECY,04.4.3
C_TE_RECY,03.1.4.2
C_UN_RECY,04.4.2
C_WOOW,04.4.2
C_BA_INCI_no_recov,04.4.2
C_BA_INCI,04.4.2
C_BA_RECY,04.4.2
C_FO_RECY,01.1
C_GLAW,04.4.2
C_HA_INCI,04.4.2
C_HA_INCI_no_recov,04.4.2
C_HA_RECY,04.4.2
C_AS_LAND,04.4.2
C_BA_LAND,04.4.2
C_HA_LAND,04.4.2
C_HA_OTHE,04.4.2
C_AL_LAND,04.4.2
C_CO_LAND,04.4.2
C_CU_LAND,04.4.2
C_DE_LAND,04.4.2
C_DV_LAND,04.4.2
C_GL_LAND,04.4.2
C_LANF,01.1
C_LANL,04.4.2
C_LANP,04.4.2
C_LANW,04.4.2
C_LZT_LAND,04.4.2
C_MA_LAND,04.4.2
C_MM_LAND,04.4.2
C_MNF_LAND,04.4.2
C_ONF_LAND,04.4.2
C_PM_LAND,04.4.2
C_SE_LAND,04.4.2
C_ST_LAND,04.4.2
C_TE_LAND,03.1.4.2
C_UN_LAND,04.4.2
C_CO_OTHE,04.4.2
C_DE_OTHE,04.4.2
C_FO_OTHE,01.1
C_MA_OTHE,04.4.2
C_MM_OTHE,04.4.2
C_MNF_OTHE,04.4.2
C_PL_OTHE,04.4.2
C_SE_OTHE,04.4.2
C_WO_OTHE,04.4.2
C_UN_OTHE,04.4.2
C_ST_OTHE,04.4.2
C_AL_INCI,04.4.2
C_CO_INCI,04.4.2
C_CO_INCI_no_recov,04.4.2
C_CU_INCI,04.4.2
C_DE_INCI,04.4.2
C_DE_INCI_no_recov,04.4.2
C_DV_INCI,04.4.2
C_GL_INCI,04.4.2
C_GL_INCI_no_recov,04.4.2
C_INCF,01.1
C_INCF_no_recov,01.1
C_INCL,04.4.2
C_INCL_no_recov,04.4.2
C_INCP,04.4.2
C_INCP_no_recov,04.4.2
C_INCW,04.4.2
C_INCW_no_recovery,04.4.2
C_LZT_INCI,04.4.2
C_MA_INCI,04.4.2
C_MA_INCI_no_recov,04.4.2
C_MM_INCI,04.4.2
